priority_rank,date_key,store_name,sku_id,sku_name,category,issue_type,risk_score,recommended_action,recommended_quantity,hours_to_stockout,expected_impact,source_store,destination_store,reason
18,20260629,MUM_DS_03,17,DAIR_CURD_17,Dairy,Stock Below Reorder Point,92,Immediate Replenishment,760,0.0,"Protects $9,825.58 sales exposure; targets 760 units",Regional Distribution Center,MUM_DS_03,Projected inventory (0) breached ROP (398). Target: 760.
19,20260629,MUM_DS_06,261,BABY_DIAP_21,Baby Care,Stock Below Reorder Point,92,Immediate Replenishment,196,0.0,"Protects $9,197.00 sales exposure; targets 196 units",Regional Distribution Center,MUM_DS_06,Projected inventory (0) breached ROP (130). Target: 196.
20,20260629,BEN_DS_09,88,SNAC_NAMK_28,Snacks,Stock Below Reorder Point,92,Immediate Replenishment,462,0.0,"Protects $8,198.02 sales exposure; targets 457 units",Regional Distribution Center,BEN_DS_09,Projected inventory (0) breached ROP (219). Target: 457.
21,20260629,BEN_DS_01,154,STAP_EDIB_04,Staples,Stock Below Reorder Point,92,Immediate Replenishment,360,0.0,"Protects $8,114.81 sales exposure; targets 357 units",Regional Distribution Center,BEN_DS_01,Projected inventory (0) breached ROP (206). Target: 357.
22,20260629,BEN_DS_10,106,PACK_NOOD_16,Packaged Foods,Stock Below Reorder Point,92,Immediate Replenishment,264,0.0,"Protects $7,166.28 sales exposure; targets 260 units",Regional Distribution Center,BEN_DS_10,Projected inventory (0) breached ROP (90). Target: 260.
23,20260629,DEL_DS_07,85,SNAC_NUTS_25,Snacks,Stock Below Reorder Point,92,Immediate Replenishment,288,0.0,"Protects $6,393.65 sales exposure; targets 277 units",Regional Distribution Center,DEL_DS_07,Projected inventory (0) breached ROP (73). Target: 277.
24,20260629,MUM_DS_01,142,FRUI_EXOT_22,Fruits & Vegetables,Stock Below Reorder Point,92,Immediate Replenishment,496,0.0,"Protects $4,164.48 sales exposure; targets 489 units",Regional Distribution Center,MUM_DS_01,Projected inventory (0) breached ROP (131). Target: 489.
25,20260629,HYD_DS_09,71,SNAC_CHIP_11,Snacks,Inter-Store Misallocation / Impending Shortage,88,Redistribute Stock,114,1.1,"Avoids $6,617.34 lost sales; lifts DoC from 0.1 to 2.4d",HYD_DS_08,HYD_DS_09,Destination projected to breach safety stock within 1.1h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 1.6km within configured limit.
26,20260629,HYD_DS_09,71,SNAC_CHIP_11,Snacks,Stock Below Reorder Point,88,Immediate Replenishment,366,1.1,"Protects $3,308.67 sales exposure; targets 365 units",Regional Distribution Center,HYD_DS_09,Projected inventory (3) breached ROP (98). Target: 365.
27,20260629,BEN_DS_10,235,HOUS_REPE_25,Household,Inter-Store Misallocation / Impending Shortage,86,Redistribute Stock,36,0.0,"Avoids $7,745.40 lost sales; lifts DoC from 0.0 to 2.9d",BEN_DS_04,BEN_DS_10,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.1d). Distance is 1.1km within configured limit.
28,20260629,MUM_DS_02,281,PET _PET _11,Pet Care,Inter-Store Misallocation / Impending Shortage,86,Redistribute Stock,16,0.0,"Avoids $2,083.30 lost sales; lifts DoC from 0.0 to 3.3d",MUM_DS_03,MUM_DS_02,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 7.5d). Distance is 5.8km within configured limit.
29,20260629,BEN_DS_10,235,HOUS_REPE_25,Household,Stock Below Reorder Point,86,Immediate Replenishment,108,0.0,"Protects $3,765.46 sales exposure; targets 97 units",Regional Distribution Center,BEN_DS_10,Projected inventory (0) breached ROP (34). Target: 97.
30,20260629,MUM_DS_02,282,PET _PET _12,Pet Care,Stock Below Reorder Point,86,Immediate Replenishment,48,0.0,"Protects $2,349.99 sales exposure; targets 48 units",Regional Distribution Center,MUM_DS_02,Projected inventory (0) breached ROP (23). Target: 48.
31,20260629,MUM_DS_01,212,HOUS_DISH_02,Household,Stock Below Reorder Point,86,Immediate Replenishment,96,0.0,"Protects $1,590.01 sales exposure; targets 95 units",Regional Distribution Center,MUM_DS_01,Projected inventory (0) breached ROP (42). Target: 95.
32,20260629,MUM_DS_02,281,PET _PET _11,Pet Care,Stock Below Reorder Point,86,Immediate Replenishment,40,0.0,Protects $997.90 sales exposure; targets 39 units,Regional Distribution Center,MUM_DS_02,Projected inventory (0) breached ROP (25). Target: 39.
33,20260629,MUM_DS_02,158,STAP_DALS_08,Staples,Inter-Store Misallocation / Impending Shortage,86,Redistribute Stock,54,2.3,"Avoids $3,534.30 lost sales; lifts DoC from 0.1 to 1.6d",MUM_DS_03,MUM_DS_02,Destination projected to breach safety stock within 2.3h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 5.8km within configured limit.
34,20260629,MUM_DS_02,158,STAP_DALS_08,Staples,Stock Below Reorder Point,86,Immediate Replenishment,282,2.3,"Protects $2,445.21 sales exposure; targets 287 units",Regional Distribution Center,MUM_DS_02,Projected inventory (5) breached ROP (138). Target: 287.
35,20260629,HYD_DS_10,7,DAIR_CURD_07,Dairy,Inter-Store Misallocation / Impending Shortage,86,Redistribute Stock,144,5.9,"Avoids $22,318.56 lost sales; lifts DoC from 0.3 to 1.9d",HYD_DS_06,HYD_DS_10,Destination projected to breach safety stock within 5.9h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 13.5km within configured limit.
36,20260629,HYD_DS_10,7,DAIR_CURD_07,Dairy,Stock Below Reorder Point,86,Immediate Replenishment,672,5.9,"Protects $13,893.30 sales exposure; targets 698 units",Regional Distribution Center,HYD_DS_10,Projected inventory (30) breached ROP (160). Target: 698.
37,20260629,BEN_DS_10,33,BEVE_TEA _03,Beverages,Inter-Store Misallocation / Impending Shortage,84,Redistribute Stock,120,4.0,"Avoids $7,959.60 lost sales; lifts DoC from 0.2 to 2.4d",BEN_DS_01,BEN_DS_10,Destination projected to breach safety stock within 4.0h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 2.4km within configured limit.
38,20260629,BEN_DS_10,33,BEVE_TEA _03,Beverages,Stock Below Reorder Point,84,Immediate Replenishment,400,4.0,"Protects $3,969.67 sales exposure; targets 407 units",Regional Distribution Center,BEN_DS_10,Projected inventory (12) breached ROP (77). Target: 407.
39,20260629,MUM_DS_03,163,STAP_DALS_13,Staples,Inter-Store Misallocation / Impending Shortage,83,Redistribute Stock,64,4.1,"Avoids $14,883.88 lost sales; lifts DoC from 0.2 to 3.2d",MUM_DS_06,MUM_DS_03,Destination projected to breach safety stock within 4.1h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 17.0d). Distance is 3.8km within configured limit.
40,20260629,MUM_DS_03,163,STAP_DALS_13,Staples,Stock Below Reorder Point,83,Immediate Replenishment,168,4.1,"Protects $7,296.48 sales exposure; targets 170 units",Regional Distribution Center,MUM_DS_03,Projected inventory (5) breached ROP (106). Target: 170.
41,20260629,DEL_DS_04,157,STAP_RICE_07,Staples,Inter-Store Misallocation / Impending Shortage,82,Redistribute Stock,60,2.3,"Avoids $6,446.25 lost sales; lifts DoC from 0.1 to 2.8d",DEL_DS_03,DEL_DS_04,Destination projected to breach safety stock within 2.3h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 9.4km within configured limit.
42,20260629,DEL_DS_04,157,STAP_RICE_07,Staples,Stock Below Reorder Point,82,Immediate Replenishment,168,2.3,"Protects $3,223.12 sales exposure; targets 167 units",Regional Distribution Center,DEL_DS_04,Projected inventory (3) breached ROP (32). Target: 167.
43,20260629,HYD_DS_07,161,STAP_ATTA_11,Staples,Inter-Store Misallocation / Impending Shortage,82,Redistribute Stock,40,2.9,"Avoids $10,641.75 lost sales; lifts DoC from 0.2 to 3.4d",HYD_DS_10,HYD_DS_07,Destination projected to breach safety stock within 2.9h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.9d). Distance is 6.0km within configured limit.
44,20260629,HYD_DS_07,161,STAP_ATTA_11,Staples,Stock Below Reorder Point,82,Immediate Replenishment,92,2.9,"Protects $5,197.43 sales exposure; targets 92 units",Regional Distribution Center,HYD_DS_07,Projected inventory (2) breached ROP (19). Target: 92.
45,20260629,MUM_DS_05,32,BEVE_COLD_02,Beverages,Inter-Store Misallocation / Impending Shortage,81,Redistribute Stock,272,5.9,"Avoids $21,164.00 lost sales; lifts DoC from 0.3 to 2.9d",MUM_DS_04,MUM_DS_05,Destination projected to breach safety stock within 5.9h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.8d). Distance is 12.7km within configured limit.
46,20260629,MUM_DS_05,32,BEVE_COLD_02,Beverages,Stock Below Reorder Point,81,Immediate Replenishment,752,5.9,"Protects $10,582.00 sales exposure; targets 783 units",Regional Distribution Center,MUM_DS_05,Projected inventory (34) breached ROP (107). Target: 783.
47,20260629,MUM_DS_02,219,HOUS_DISP_09,Household,Inter-Store Misallocation / Impending Shortage,80,Redistribute Stock,48,2.5,"Avoids $7,142.70 lost sales; lifts DoC from 0.1 to 3.5d",MUM_DS_04,MUM_DS_02,Destination projected to breach safety stock within 2.5h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 14.3d). Distance is 6.5km within configured limit.
48,20260629,MUM_DS_02,219,HOUS_DISP_09,Household,Stock Below Reorder Point,80,Immediate Replenishment,120,2.5,"Protects $3,571.35 sales exposure; targets 114 units",Regional Distribution Center,MUM_DS_02,Projected inventory (2) breached ROP (56). Target: 114.
49,20260629,DEL_DS_06,170,STAP_SPIC_20,Staples,Inter-Store Misallocation / Impending Shortage,80,Redistribute Stock,72,4.7,"Avoids $24,368.40 lost sales; lifts DoC from 0.3 to 2.0d",DEL_DS_05,DEL_DS_06,Destination projected to breach safety stock within 4.7h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.4d). Distance is 4.7km within configured limit.
50,20260629,DEL_DS_06,170,STAP_SPIC_20,Staples,Stock Below Reorder Point,80,Immediate Replenishment,320,4.7,"Protects $14,116.75 sales exposure; targets 324 units",Regional Distribution Center,DEL_DS_06,Projected inventory (11) breached ROP (158). Target: 324.
51,20260629,MUM_DS_09,281,PET _PET _11,Pet Care,Inter-Store Misallocation / Impending Shortage,79,Redistribute Stock,12,3.4,"Avoids $2,291.63 lost sales; lifts DoC from 0.2 to 2.4d",MUM_DS_05,MUM_DS_09,Destination projected to breach safety stock within 3.4h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.8d). Distance is 4.5km within configured limit.
52,20260629,MUM_DS_09,281,PET _PET _11,Pet Care,Stock Below Reorder Point,79,Scheduled Replenishment,44,3.4,"Protects $1,116.65 sales exposure; targets 43 units",Regional Distribution Center,MUM_DS_09,Projected inventory (1) breached ROP (27). Target: 43.
53,20260629,MUM_DS_02,81,SNAC_CHIP_21,Snacks,Inter-Store Misallocation / Impending Shortage,78,Redistribute Stock,120,3.4,"Avoids $12,506.40 lost sales; lifts DoC from 0.2 to 1.6d",MUM_DS_06,MUM_DS_02,Destination projected to breach safety stock within 3.4h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 7.3km within configured limit.
54,20260629,MUM_DS_09,116,PACK_NOOD_26,Packaged Foods,Inter-Store Misallocation / Impending Shortage,78,Redistribute Stock,64,3.4,"Avoids $5,565.44 lost sales; lifts DoC from 0.2 to 1.7d",MUM_DS_05,MUM_DS_09,Destination projected to breach safety stock within 3.4h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 4.5km within configured limit.
55,20260629,MUM_DS_02,81,SNAC_CHIP_21,Snacks,Stock Below Reorder Point,78,Scheduled Replenishment,624,3.4,"Protects $9,007.73 sales exposure; targets 640 units",Regional Distribution Center,MUM_DS_02,Projected inventory (16) breached ROP (121). Target: 640.
56,20260629,MUM_DS_09,116,PACK_NOOD_26,Packaged Foods,Stock Below Reorder Point,78,Scheduled Replenishment,312,3.4,"Protects $3,670.58 sales exposure; targets 313 units",Regional Distribution Center,MUM_DS_09,Projected inventory (8) breached ROP (60). Target: 313.
57,20260629,HYD_DS_02,155,STAP_SPIC_05,Staples,Inter-Store Misallocation / Impending Shortage,78,Redistribute Stock,44,11.2,"Avoids $14,633.85 lost sales; lifts DoC from 0.6 to 3.4d",HYD_DS_09,HYD_DS_02,Destination projected to breach safety stock within 11.2h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 12.0d). Distance is 2.8km within configured limit.
58,20260629,HYD_DS_02,155,STAP_SPIC_05,Staples,Stock Below Reorder Point,78,Scheduled Replenishment,140,11.2,"Protects $7,126.24 sales exposure; targets 150 units",Regional Distribution Center,HYD_DS_02,Projected inventory (10) breached ROP (102). Target: 150.
59,20260629,MUM_DS_09,247,BABY_BABY_07,Baby Care,Inter-Store Misallocation / Impending Shortage,77,Redistribute Stock,56,3.4,"Avoids $22,632.96 lost sales; lifts DoC from 0.2 to 1.8d",MUM_DS_05,MUM_DS_09,Destination projected to breach safety stock within 3.4h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 4.5km within configured limit.
60,20260629,MUM_DS_09,247,BABY_BABY_07,Baby Care,Stock Below Reorder Point,77,Scheduled Replenishment,264,3.4,"Protects $14,549.76 sales exposure; targets 266 units",Regional Distribution Center,MUM_DS_09,Projected inventory (7) breached ROP (50). Target: 266.
61,20260629,MUM_DS_02,252,BABY_BABY_12,Baby Care,Inter-Store Misallocation / Impending Shortage,77,Redistribute Stock,132,6.8,"Avoids $51,597.42 lost sales; lifts DoC from 0.4 to 3.5d",MUM_DS_03,MUM_DS_02,Destination projected to breach safety stock within 6.8h (DoC: 0.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 10.1d). Distance is 5.8km within configured limit.
62,20260629,MUM_DS_02,252,BABY_BABY_12,Baby Care,Stock Below Reorder Point,77,Scheduled Replenishment,320,6.8,"Protects $25,540.72 sales exposure; targets 335 units",Regional Distribution Center,MUM_DS_02,Projected inventory (16) breached ROP (208). Target: 335.
63,20260629,MUM_DS_09,110,PACK_READ_20,Packaged Foods,Inter-Store Misallocation / Impending Shortage,76,Redistribute Stock,72,5.8,"Avoids $3,129.12 lost sales; lifts DoC from 0.3 to 2.0d",MUM_DS_05,MUM_DS_09,Destination projected to breach safety stock within 5.8h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 4.5km within configured limit.
64,20260629,MUM_DS_09,110,PACK_READ_20,Packaged Foods,Stock Below Reorder Point,76,Scheduled Replenishment,336,5.8,"Protects $1,899.64 sales exposure; targets 335 units",Regional Distribution Center,MUM_DS_09,Projected inventory (14) breached ROP (161). Target: 335.
65,20260629,DEL_DS_04,11,DAIR_MILK_11,Dairy,Inter-Store Misallocation / Impending Shortage,76,Redistribute Stock,192,10.8,"Avoids $28,584.36 lost sales; lifts DoC from 0.6 to 3.5d",DEL_DS_06,DEL_DS_04,Destination projected to breach safety stock within 10.8h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 7.9d). Distance is 7.3km within configured limit.
66,20260629,DEL_DS_04,11,DAIR_MILK_11,Dairy,Stock Below Reorder Point,76,Scheduled Replenishment,544,10.8,"Protects $14,247.05 sales exposure; targets 577 units",Regional Distribution Center,DEL_DS_04,Projected inventory (40) breached ROP (311). Target: 577.
67,20260629,MUM_DS_09,239,HOUS_DISP_29,Household,Inter-Store Misallocation / Impending Shortage,75,Redistribute Stock,6,4.0,Avoids $769.14 lost sales; lifts DoC from 0.2 to 1.5d,MUM_DS_01,MUM_DS_09,Destination projected to breach safety stock within 4.0h (DoC: 0.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 7.2km within configured limit.
68,20260629,MUM_DS_09,239,HOUS_DISP_29,Household,Stock Below Reorder Point,75,Scheduled Replenishment,36,4.0,Protects $594.80 sales exposure; targets 36 units,Regional Distribution Center,MUM_DS_09,Projected inventory (1) breached ROP (8). Target: 36.
69,20260629,BEN_DS_04,289,PET _PET _19,Pet Care,Inter-Store Misallocation / Impending Shortage,75,Redistribute Stock,24,8.3,"Avoids $8,623.08 lost sales; lifts DoC from 0.5 to 3.2d",BEN_DS_10,BEN_DS_04,Destination projected to breach safety stock within 8.3h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 12.2d). Distance is 1.1km within configured limit.
70,20260629,BEN_DS_04,289,PET _PET _19,Pet Care,Stock Below Reorder Point,75,Scheduled Replenishment,96,8.3,"Protects $4,210.94 sales exposure; targets 80 units",Regional Distribution Center,BEN_DS_04,Projected inventory (4) breached ROP (54). Target: 80.
71,20260629,BEN_DS_05,88,SNAC_NAMK_28,Snacks,Inter-Store Misallocation / Impending Shortage,75,Redistribute Stock,168,12.2,"Avoids $16,789.64 lost sales; lifts DoC from 0.7 to 3.5d",BEN_DS_10,BEN_DS_05,Destination projected to breach safety stock within 12.2h (DoC: 0.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.3d). Distance is 3.8km within configured limit.
72,20260629,BEN_DS_05,88,SNAC_NAMK_28,Snacks,Stock Below Reorder Point,75,Scheduled Replenishment,498,12.2,"Protects $8,335.64 sales exposure; targets 538 units",Regional Distribution Center,BEN_DS_05,Projected inventory (41) breached ROP (296). Target: 538.
73,20260629,MUM_DS_02,91,PACK_NOOD_01,Packaged Foods,Stock Below Reorder Point,74,Scheduled Replenishment,168,6.7,"Protects $5,163.87 sales exposure; targets 165 units",Regional Distribution Center,MUM_DS_02,Projected inventory (8) breached ROP (47). Target: 165.
74,20260629,MUM_DS_02,274,PET _PET _04,Pet Care,Inter-Store Misallocation / Impending Shortage,72,Redistribute Stock,36,11.3,"Avoids $5,671.38 lost sales; lifts DoC from 0.6 to 3.5d",MUM_DS_04,MUM_DS_02,Destination projected to breach safety stock within 11.3h (DoC: 0.6d). Source retains surplus stock above protection threshold (Post-transfer DoC: 11.3d). Distance is 6.5km within configured limit.
75,20260629,MUM_DS_02,274,PET _PET _04,Pet Care,Stock Below Reorder Point,72,Scheduled Replenishment,120,11.3,"Protects $2,757.16 sales exposure; targets 117 units",Regional Distribution Center,MUM_DS_02,Projected inventory (8) breached ROP (79). Target: 117.
76,20260629,MUM_DS_02,11,DAIR_MILK_11,Dairy,Inter-Store Misallocation / Impending Shortage,71,Redistribute Stock,56,7.6,"Avoids $12,035.52 lost sales; lifts DoC from 0.4 to 1.3d",MUM_DS_04,MUM_DS_02,Destination projected to breach safety stock within 7.6h (DoC: 0.4d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 6.5km within configured limit.
77,20260629,MUM_DS_02,11,DAIR_MILK_11,Dairy,Stock Below Reorder Point,71,Scheduled Replenishment,488,7.6,"Protects $14,337.31 sales exposure; targets 511 units",Regional Distribution Center,MUM_DS_02,Projected inventory (28) breached ROP (245). Target: 511.
78,20260629,BEN_DS_07,185,PERS_SANI_05,Personal Care,Inter-Store Misallocation / Impending Shortage,71,Redistribute Stock,24,8.1,"Avoids $5,015.61 lost sales; lifts DoC from 0.5 to 2.6d",BEN_DS_05,BEN_DS_07,Destination projected to breach safety stock within 8.1h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 20.9d). Distance is 3.8km within configured limit.
79,20260629,BEN_DS_07,185,PERS_SANI_05,Personal Care,Stock Below Reorder Point,71,Scheduled Replenishment,96,8.1,"Protects $2,414.03 sales exposure; targets 90 units",Regional Distribution Center,BEN_DS_07,Projected inventory (5) breached ROP (57). Target: 90.
80,20260629,HYD_DS_07,239,HOUS_DISP_29,Household,Inter-Store Misallocation / Impending Shortage,70,Redistribute Stock,6,5.6,Avoids $769.14 lost sales; lifts DoC from 0.3 to 2.2d,HYD_DS_09,HYD_DS_07,Destination projected to breach safety stock within 5.6h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.0d). Distance is 9.5km within configured limit.
81,20260629,HYD_DS_07,239,HOUS_DISP_29,Household,Stock Below Reorder Point,70,Scheduled Replenishment,24,5.6,Protects $411.49 sales exposure; targets 25 units,Regional Distribution Center,HYD_DS_07,Projected inventory (1) breached ROP (6). Target: 25.
82,20260629,MUM_DS_03,251,BABY_BABY_11,Baby Care,Inter-Store Misallocation / Impending Shortage,69,Redistribute Stock,56,5.8,"Avoids $9,387.84 lost sales; lifts DoC from 0.3 to 1.9d",MUM_DS_01,MUM_DS_03,Destination projected to breach safety stock within 5.8h (DoC: 0.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 8.8km within configured limit.
83,20260629,MUM_DS_03,251,BABY_BABY_11,Baby Care,Stock Below Reorder Point,69,Scheduled Replenishment,248,5.8,"Protects $5,771.85 sales exposure; targets 256 units",Regional Distribution Center,MUM_DS_03,Projected inventory (11) breached ROP (49). Target: 256.
84,20260629,MUM_DS_03,274,PET _PET _04,Pet Care,Inter-Store Misallocation / Impending Shortage,69,Redistribute Stock,24,9.4,"Avoids $4,362.60 lost sales; lifts DoC from 0.5 to 3.0d",MUM_DS_04,MUM_DS_03,Destination projected to breach safety stock within 9.4h (DoC: 0.5d). Source retains surplus stock above protection threshold (Post-transfer DoC: 7.9d). Distance is 0.9km within configured limit.
